State,Year,Education Level of Mother,Number of Births,Average Age of Mother (years)
Delaware,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",244,34.0
Delaware,2021,High school graduate or GED completed,2753,27.0
Delaware,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1219,33.1
Delaware,2021,"Some college credit, but not a degree",1818,28.7
Delaware,2021,Unknown or Not Stated,255,29.4
District of Columbia,2016,8th grade or less,308,29.4
District of Columbia,2016,9th through 12th grade with no diploma,985,25.2
District of Columbia,2016,"Associate degree (AA, AS)",274,30.7
District of Columbia,2016,"Bachelor's degree (BA, AB, BS)",1672,32.4
District of Columbia,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1065,35.0
District of Columbia,2016,High school graduate or GED completed,2215,26.7
District of Columbia,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1862,34.4
District of Columbia,2016,"Some college credit, but not a degree",1409,27.8
District of Columbia,2016,Unknown or Not Stated,68,30.2
District of Columbia,2017,8th grade or less,283,30.1
District of Columbia,2017,9th through 12th grade with no diploma,952,25.0
District of Columbia,2017,"Associate degree (AA, AS)",263,30.8
District of Columbia,2017,"Bachelor's degree (BA, AB, BS)",1590,32.7
District of Columbia,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1014,35.0
District of Columbia,2017,High school graduate or GED completed,2065,26.8
District of Columbia,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1930,34.4
District of Columbia,2017,"Some college credit, but not a degree",1405,28.2
District of Columbia,2017,Unknown or Not Stated,58,29.6
District of Columbia,2018,8th grade or less,275,29.6
District of Columbia,2018,9th through 12th grade with no diploma,828,25.2
District of Columbia,2018,"Associate degree (AA, AS)",255,30.9
District of Columbia,2018,"Bachelor's degree (BA, AB, BS)",1550,33.0
District of Columbia,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1070,35.4
District of Columbia,2018,High school graduate or GED completed,2035,27.1
District of Columbia,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1932,34.7
District of Columbia,2018,"Some college credit, but not a degree",1171,28.6
District of Columbia,2018,Unknown or Not Stated,96,28.6
District of Columbia,2019,8th grade or less,257,30.0
District of Columbia,2019,9th through 12th grade with no diploma,748,25.6
District of Columbia,2019,"Associate degree (AA, AS)",259,31.2
District of Columbia,2019,"Bachelor's degree (BA, AB, BS)",1596,33.1
District of Columbia,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1040,35.4
District of Columbia,2019,High school graduate or GED completed,2072,27.3
District of Columbia,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1872,34.8
District of Columbia,2019,"Some college credit, but not a degree",1139,28.9
District of Columbia,2019,Unknown or Not Stated,96,29.3
District of Columbia,2020,8th grade or less,273,31.2
District of Columbia,2020,9th through 12th grade with no diploma,806,25.6
District of Columbia,2020,"Associate degree (AA, AS)",247,31.2
District of Columbia,2020,"Bachelor's degree (BA, AB, BS)",1608,33.0
District of Columbia,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",994,35.4
District of Columbia,2020,High school graduate or GED completed,1797,27.4
District of Columbia,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1937,35.0
District of Columbia,2020,"Some college credit, but not a degree",1128,28.9
District of Columbia,2020,Unknown or Not Stated,84,30.4
District of Columbia,2021,8th grade or less,305,30.0
District of Columbia,2021,9th through 12th grade with no diploma,688,26.2
District of Columbia,2021,"Associate degree (AA, AS)",226,31.2
District of Columbia,2021,"Bachelor's degree (BA, AB, BS)",1499,33.2
District of Columbia,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1053,35.5
District of Columbia,2021,High school graduate or GED completed,1704,27.4
District of Columbia,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1948,35.2
District of Columbia,2021,"Some college credit, but not a degree",1053,29.0
District of Columbia,2021,Unknown or Not Stated,184,28.4
Florida,2016,8th grade or less,6695,28.7
Florida,2016,9th through 12th grade with no diploma,20862,25.0
Florida,2016,"Associate degree (AA, AS)",22599,29.9
Florida,2016,"Bachelor's degree (BA, AB, BS)",39955,31.5
Florida,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4537,33.6
Florida,2016,High school graduate or GED completed,69527,27.0
Florida,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15897,32.8
Florida,2016,"Some college credit, but not a degree",42571,28.3
Florida,2016,Unknown or Not Stated,2379,29.6
Florida,2017,8th grade or less,6623,28.6
Florida,2017,9th through 12th grade with no diploma,20152,25.2
Florida,2017,"Associate degree (AA, AS)",22571,30.0
Florida,2017,"Bachelor's degree (BA, AB, BS)",40002,31.6
Florida,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4656,33.8
Florida,2017,High school graduate or GED completed,69578,27.1
Florida,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15869,33.0
Florida,2017,"Some college credit, but not a degree",41760,28.4
Florida,2017,Unknown or Not Stated,2419,30.0
Florida,2018,8th grade or less,6404,29.0
Florida,2018,9th through 12th grade with no diploma,18922,25.4
Florida,2018,"Associate degree (AA, AS)",22817,30.2
Florida,2018,"Bachelor's degree (BA, AB, BS)",41416,31.7
Florida,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4887,33.7
Florida,2018,High school graduate or GED completed,67627,27.3
Florida,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16318,33.0
Florida,2018,"Some college credit, but not a degree",40610,28.6
Florida,2018,Unknown or Not Stated,2541,29.2
Florida,2019,8th grade or less,6252,28.6
Florida,2019,9th through 12th grade with no diploma,17660,25.4
Florida,2019,"Associate degree (AA, AS)",22586,30.2
Florida,2019,"Bachelor's degree (BA, AB, BS)",42240,31.8
Florida,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5226,34.0
Florida,2019,High school graduate or GED completed,68336,27.4
Florida,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16610,33.2
Florida,2019,"Some college credit, but not a degree",39055,28.8
Florida,2019,Unknown or Not Stated,2037,29.4
Florida,2020,8th grade or less,5917,28.6
Florida,2020,9th through 12th grade with no diploma,16227,25.6
Florida,2020,"Associate degree (AA, AS)",21882,30.3
Florida,2020,"Bachelor's degree (BA, AB, BS)",41239,31.8
Florida,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5056,34.0
Florida,2020,High school graduate or GED completed,65185,27.4
Florida,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16558,33.2
Florida,2020,"Some college credit, but not a degree",35973,29.0
Florida,2020,Unknown or Not Stated,1634,29.5
Florida,2021,8th grade or less,5867,28.6
Florida,2021,9th through 12th grade with no diploma,15340,25.8
Florida,2021,"Associate degree (AA, AS)",22968,30.4
Florida,2021,"Bachelor's degree (BA, AB, BS)",43722,31.9
Florida,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",5555,34.1
Florida,2021,High school graduate or GED completed,66101,27.5
Florida,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17835,33.3
Florida,2021,"Some college credit, but not a degree",36563,29.2
Florida,2021,Unknown or Not Stated,2309,29.8
Georgia,2016,8th grade or less,4894,28.8
Georgia,2016,9th through 12th grade with no diploma,13833,24.4
Georgia,2016,"Associate degree (AA, AS)",8666,29.4
Georgia,2016,"Bachelor's degree (BA, AB, BS)",26734,31.2
Georgia,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2133,33.8
Georgia,2016,High school graduate or GED completed,38270,26.0
Georgia,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9350,32.7
Georgia,2016,"Some college credit, but not a degree",24983,27.4
Georgia,2016,Unknown or Not Stated,1179,28.8
Georgia,2017,8th grade or less,4411,29.4
Georgia,2017,9th through 12th grade with no diploma,12620,24.4
Georgia,2017,"Associate degree (AA, AS)",8933,29.4
Georgia,2017,"Bachelor's degree (BA, AB, BS)",27994,31.3
Georgia,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2145,33.8
Georgia,2017,High school graduate or GED completed,39389,26.2
Georgia,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8654,32.6
Georgia,2017,"Some college credit, but not a degree",24268,27.6
Georgia,2017,Unknown or Not Stated,829,29.0
Georgia,2018,8th grade or less,4086,28.9
Georgia,2018,9th through 12th grade with no diploma,11878,24.6
Georgia,2018,"Associate degree (AA, AS)",9470,29.7
Georgia,2018,"Bachelor's degree (BA, AB, BS)",26669,31.4
Georgia,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2114,34.0
Georgia,2018,High school graduate or GED completed,39741,26.4
Georgia,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8745,32.8
Georgia,2018,"Some college credit, but not a degree",22893,27.8
Georgia,2018,Unknown or Not Stated,576,28.9
Georgia,2019,8th grade or less,4023,28.8
Georgia,2019,9th through 12th grade with no diploma,11851,24.8
Georgia,2019,"Associate degree (AA, AS)",9844,29.8
Georgia,2019,"Bachelor's degree (BA, AB, BS)",26902,31.4
Georgia,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2145,34.0
Georgia,2019,High school graduate or GED completed,39582,26.4
Georgia,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8609,32.8
Georgia,2019,"Some college credit, but not a degree",22718,27.9
Georgia,2019,Unknown or Not Stated,697,28.7
Georgia,2020,8th grade or less,3810,29.0
Georgia,2020,9th through 12th grade with no diploma,10885,24.8
Georgia,2020,"Associate degree (AA, AS)",9509,29.8
Georgia,2020,"Bachelor's degree (BA, AB, BS)",26192,31.4
Georgia,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2113,34.0
Georgia,2020,High school graduate or GED completed,39675,26.6
Georgia,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8730,32.8
Georgia,2020,"Some college credit, but not a degree",21146,28.0
Georgia,2020,Unknown or Not Stated,413,29.4
Georgia,2021,8th grade or less,3662,29.0
Georgia,2021,9th through 12th grade with no diploma,10174,24.9
Georgia,2021,"Associate degree (AA, AS)",9898,30.0
Georgia,2021,"Bachelor's degree (BA, AB, BS)",27451,31.5
Georgia,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2483,34.1
Georgia,2021,High school graduate or GED completed,40316,26.7
Georgia,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9675,32.8
Georgia,2021,"Some college credit, but not a degree",20086,28.2
Georgia,2021,Unknown or Not Stated,328,28.8
Hawaii,2016,8th grade or less,157,27.7
Hawaii,2016,9th through 12th grade with no diploma,2959,26.8
Hawaii,2016,"Associate degree (AA, AS)",2298,30.1
Hawaii,2016,"Bachelor's degree (BA, AB, BS)",3895,31.8
Hawaii,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",216,34.5
Hawaii,2016,High school graduate or GED completed,3457,26.4
Hawaii,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1498,34.0
Hawaii,2016,"Some college credit, but not a degree",3476,28.4
Hawaii,2016,Unknown or Not Stated,103,29.6
Hawaii,2017,8th grade or less,149,27.2
Hawaii,2017,9th through 12th grade with no diploma,3044,26.4
Hawaii,2017,"Associate degree (AA, AS)",2174,30.2
Hawaii,2017,"Bachelor's degree (BA, AB, BS)",3800,32.2
Hawaii,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",249,34.6
Hawaii,2017,High school graduate or GED completed,3124,26.8
Hawaii,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1471,33.8
Hawaii,2017,"Some college credit, but not a degree",3392,28.4
Hawaii,2017,Unknown or Not Stated,114,29.0
Hawaii,2018,8th grade or less,137,28.0
Hawaii,2018,9th through 12th grade with no diploma,2858,26.7
Hawaii,2018,"Associate degree (AA, AS)",1976,30.6
Hawaii,2018,"Bachelor's degree (BA, AB, BS)",3889,32.1
Hawaii,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",248,34.5
Hawaii,2018,High school graduate or GED completed,2907,26.8
Hawaii,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1407,34.0
Hawaii,2018,"Some college credit, but not a degree",3433,28.8
Hawaii,2018,Unknown or Not Stated,117,30.0
Hawaii,2019,8th grade or less,137,28.0
Hawaii,2019,9th through 12th grade with no diploma,2863,26.8
Hawaii,2019,"Associate degree (AA, AS)",1681,30.9
Hawaii,2019,"Bachelor's degree (BA, AB, BS)",3803,32.2
Hawaii,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",246,34.9
Hawaii,2019,High school graduate or GED completed,2941,27.0
Hawaii,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1455,34.1
Hawaii,2019,"Some college credit, but not a degree",3518,28.8
Hawaii,2019,Unknown or Not Stated,153,28.2
Hawaii,2020,8th grade or less,116,28.8
Hawaii,2020,9th through 12th grade with no diploma,2535,27.2
Hawaii,2020,"Associate degree (AA, AS)",1622,30.7
Hawaii,2020,"Bachelor's degree (BA, AB, BS)",3698,32.1
Hawaii,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",245,34.8
Hawaii,2020,High school graduate or GED completed,2797,26.8
Hawaii,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1388,34.2
Hawaii,2020,"Some college credit, but not a degree",3125,28.8
Hawaii,2020,Unknown or Not Stated,259,29.8
Hawaii,2021,8th grade or less,102,29.4
Hawaii,2021,9th through 12th grade with no diploma,2354,27.2
Hawaii,2021,"Associate degree (AA, AS)",1580,31.0
Hawaii,2021,"Bachelor's degree (BA, AB, BS)",3744,32.2
Hawaii,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",296,34.6
Hawaii,2021,High school graduate or GED completed,2719,27.0
Hawaii,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1523,34.2
Hawaii,2021,"Some college credit, but not a degree",3000,29.4
Hawaii,2021,Unknown or Not Stated,302,30.2
Idaho,2016,8th grade or less,539,30.6
Idaho,2016,9th through 12th grade with no diploma,1963,24.2
Idaho,2016,"Associate degree (AA, AS)",2321,29.2
Idaho,2016,"Bachelor's degree (BA, AB, BS)",4677,30.2
Idaho,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",293,33.3
Idaho,2016,High school graduate or GED completed,5783,26.0
Idaho,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1036,32.6
Idaho,2016,"Some college credit, but not a degree",5761,27.4
Idaho,2016,Unknown or Not Stated,109,29.4
Idaho,2017,8th grade or less,463,30.2
Idaho,2017,9th through 12th grade with no diploma,1946,24.4
Idaho,2017,"Associate degree (AA, AS)",2286,29.0
Idaho,2017,"Bachelor's degree (BA, AB, BS)",4669,30.2
Idaho,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",318,33.6
Idaho,2017,High school graduate or GED completed,5581,26.0
Idaho,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1050,32.6
Idaho,2017,"Some college credit, but not a degree",5749,27.6
Idaho,2017,Unknown or Not Stated,119,28.1
Idaho,2018,8th grade or less,414,30.4
Idaho,2018,9th through 12th grade with no diploma,1801,24.5
Idaho,2018,"Associate degree (AA, AS)",2148,29.2
Idaho,2018,"Bachelor's degree (BA, AB, BS)",4673,30.2
Idaho,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",300,33.3
Idaho,2018,High school graduate or GED completed,5430,26.1
Idaho,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1059,32.8
Idaho,2018,"Some college credit, but not a degree",5476,27.7
Idaho,2018,Unknown or Not Stated,102,29.2
Idaho,2019,8th grade or less,449,30.7
Idaho,2019,9th through 12th grade with no diploma,1804,24.6
Idaho,2019,"Associate degree (AA, AS)",2259,29.2
Idaho,2019,"Bachelor's degree (BA, AB, BS)",4891,30.4
Idaho,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",308,33.4
Idaho,2019,High school graduate or GED completed,5503,26.3
Idaho,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1160,32.8
Idaho,2019,"Some college credit, but not a degree",5562,27.8
Idaho,2019,Unknown or Not Stated,127,28.4
Idaho,2020,8th grade or less,393,30.1
Idaho,2020,9th through 12th grade with no diploma,1754,24.4
Idaho,2020,"Associate degree (AA, AS)",2207,29.4
Idaho,2020,"Bachelor's degree (BA, AB, BS)",4984,30.4
Idaho,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",315,33.6
Idaho,2020,High school graduate or GED completed,5395,26.4
Idaho,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1112,32.5
Idaho,2020,"Some college credit, but not a degree",5238,27.8
Idaho,2020,Unknown or Not Stated,135,29.0
Idaho,2021,8th grade or less,399,30.9
Idaho,2021,9th through 12th grade with no diploma,1630,24.6
Idaho,2021,"Associate degree (AA, AS)",2283,29.3
Idaho,2021,"Bachelor's degree (BA, AB, BS)",5345,30.3
Idaho,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",381,33.8
Idaho,2021,High school graduate or GED completed,5443,26.5
Idaho,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1306,32.7
Idaho,2021,"Some college credit, but not a degree",5436,28.1
Idaho,2021,Unknown or Not Stated,204,29.6
Illinois,2016,8th grade or less,3994,30.6
Illinois,2016,9th through 12th grade with no diploma,13870,25.0
Illinois,2016,"Associate degree (AA, AS)",12242,29.8
Illinois,2016,"Bachelor's degree (BA, AB, BS)",34404,31.5
Illinois,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4645,33.7
Illinois,2016,High school graduate or GED completed,32925,26.6
Illinois,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",18838,33.0
Illinois,2016,"Some college credit, but not a degree",30457,27.6
Illinois,2016,Unknown or Not Stated,3070,29.9
Illinois,2017,8th grade or less,3496,30.8
Illinois,2017,9th through 12th grade with no diploma,12844,25.2
Illinois,2017,"Associate degree (AA, AS)",11711,30.0
Illinois,2017,"Bachelor's degree (BA, AB, BS)",33544,31.6
Illinois,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4539,33.8
Illinois,2017,High school graduate or GED completed,32690,26.6
Illinois,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",18020,33.0
Illinois,2017,"Some college credit, but not a degree",29296,27.8
Illinois,2017,Unknown or Not Stated,3250,30.0
Illinois,2018,8th grade or less,3162,30.6
Illinois,2018,9th through 12th grade with no diploma,11739,25.4
Illinois,2018,"Associate degree (AA, AS)",11547,30.0
Illinois,2018,"Bachelor's degree (BA, AB, BS)",33058,31.8
Illinois,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4588,34.0
Illinois,2018,High school graduate or GED completed,32953,26.8
Illinois,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17859,33.2
Illinois,2018,"Some college credit, but not a degree",27669,28.1
Illinois,2018,Unknown or Not Stated,2240,30.4
Illinois,2019,8th grade or less,2870,30.8
Illinois,2019,9th through 12th grade with no diploma,10453,25.4
Illinois,2019,"Associate degree (AA, AS)",11207,30.1
Illinois,2019,"Bachelor's degree (BA, AB, BS)",32326,31.8
Illinois,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4567,34.0
Illinois,2019,High school graduate or GED completed,32421,26.8
Illinois,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17746,33.2
Illinois,2019,"Some college credit, but not a degree",26752,28.3
Illinois,2019,Unknown or Not Stated,1786,30.8
Illinois,2020,8th grade or less,2623,31.1
Illinois,2020,9th through 12th grade with no diploma,9814,25.4
Illinois,2020,"Associate degree (AA, AS)",10601,30.2
Illinois,2020,"Bachelor's degree (BA, AB, BS)",31283,31.9
Illinois,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4380,34.0
Illinois,2020,High school graduate or GED completed,30949,26.8
Illinois,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16916,33.3
Illinois,2020,"Some college credit, but not a degree",24966,28.5
Illinois,2020,Unknown or Not Stated,1766,30.8
Illinois,2021,8th grade or less,2443,30.4
Illinois,2021,9th through 12th grade with no diploma,8829,25.6
Illinois,2021,"Associate degree (AA, AS)",10754,30.2
Illinois,2021,"Bachelor's degree (BA, AB, BS)",32759,32.0
Illinois,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4824,34.1
Illinois,2021,High school graduate or GED completed,29948,27.0
Illinois,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17353,33.4
Illinois,2021,"Some college credit, but not a degree",23823,28.7
Illinois,2021,Unknown or Not Stated,1456,31.4
Indiana,2016,8th grade or less,3808,28.8
Indiana,2016,9th through 12th grade with no diploma,9134,24.0
Indiana,2016,"Associate degree (AA, AS)",7306,29.4
Indiana,2016,"Bachelor's degree (BA, AB, BS)",16270,30.5
Indiana,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1532,33.2
Indiana,2016,High school graduate or GED completed,22764,25.5
Indiana,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5104,32.2
Indiana,2016,"Some college credit, but not a degree",17037,27.2
Indiana,2016,Unknown or Not Stated,136,28.8
Indiana,2017,8th grade or less,3827,28.7
Indiana,2017,9th through 12th grade with no diploma,8779,24.2
Indiana,2017,"Associate degree (AA, AS)",7051,29.5
Indiana,2017,"Bachelor's degree (BA, AB, BS)",16043,30.5
Indiana,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1504,33.2
Indiana,2017,High school graduate or GED completed,23165,25.6
Indiana,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5014,32.2
Indiana,2017,"Some college credit, but not a degree",16650,27.4
Indiana,2017,Unknown or Not Stated,137,27.8
Indiana,2018,8th grade or less,3769,28.8
Indiana,2018,9th through 12th grade with no diploma,8453,24.2
Indiana,2018,"Associate degree (AA, AS)",6842,29.7
Indiana,2018,"Bachelor's degree (BA, AB, BS)",16128,30.6
Indiana,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1601,33.3
Indiana,2018,High school graduate or GED completed,23558,25.6
Indiana,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4975,32.4
Indiana,2018,"Some college credit, but not a degree",16215,27.6
Indiana,2018,Unknown or Not Stated,105,29.6
Indiana,2019,8th grade or less,3854,28.7
Indiana,2019,9th through 12th grade with no diploma,8309,24.3
Indiana,2019,"Associate degree (AA, AS)",6464,29.6
Indiana,2019,"Bachelor's degree (BA, AB, BS)",16257,30.6
Indiana,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1577,33.2
Indiana,2019,High school graduate or GED completed,23993,25.8
Indiana,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4916,32.4
Indiana,2019,"Some college credit, but not a degree",15388,27.7
Indiana,2019,Unknown or Not Stated,101,29.0
Indiana,2020,8th grade or less,3987,28.8
Indiana,2020,9th through 12th grade with no diploma,7629,24.4
Indiana,2020,"Associate degree (AA, AS)",6285,29.8
Indiana,2020,"Bachelor's degree (BA, AB, BS)",16074,30.6
Indiana,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1664,33.2
Indiana,2020,High school graduate or GED completed,23434,26.0
Indiana,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4964,32.4
Indiana,2020,"Some college credit, but not a degree",14462,27.9
Indiana,2020,Unknown or Not Stated,117,28.8
Indiana,2021,8th grade or less,3897,28.6
Indiana,2021,9th through 12th grade with no diploma,7363,24.6
Indiana,2021,"Associate degree (AA, AS)",6544,29.8
Indiana,2021,"Bachelor's degree (BA, AB, BS)",17013,30.6
Indiana,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1717,33.2
Indiana,2021,High school graduate or GED completed,23268,26.1
Indiana,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5391,32.3
Indiana,2021,"Some college credit, but not a degree",14538,28.0
Indiana,2021,Unknown or Not Stated,215,29.8
Iowa,2016,8th grade or less,1291,30.2
Iowa,2016,9th through 12th grade with no diploma,3098,24.4
Iowa,2016,"Associate degree (AA, AS)",5045,29.2
Iowa,2016,"Bachelor's degree (BA, AB, BS)",9449,30.3
Iowa,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1045,32.6
Iowa,2016,High school graduate or GED completed,9447,26.0
Iowa,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2999,31.8
Iowa,2016,"Some college credit, but not a degree",6957,27.2
Iowa,2016,Unknown or Not Stated,72,28.8
Iowa,2017,8th grade or less,1263,30.2
Iowa,2017,9th through 12th grade with no diploma,3067,24.8
Iowa,2017,"Associate degree (AA, AS)",4853,29.4
Iowa,2017,"Bachelor's degree (BA, AB, BS)",9119,30.4
Iowa,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1075,32.7
Iowa,2017,High school graduate or GED completed,9406,26.2
Iowa,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2982,32.0
Iowa,2017,"Some college credit, but not a degree",6607,27.4
Iowa,2017,Unknown or Not Stated,58,28.0
Iowa,2018,8th grade or less,1204,30.0
Iowa,2018,9th through 12th grade with no diploma,3091,24.7
Iowa,2018,"Associate degree (AA, AS)",4746,29.4
Iowa,2018,"Bachelor's degree (BA, AB, BS)",9062,30.4
Iowa,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1047,32.7
Iowa,2018,High school graduate or GED completed,9172,26.4
Iowa,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3036,32.1
Iowa,2018,"Some college credit, but not a degree",6349,27.4
Iowa,2018,Unknown or Not Stated,78,29.2
Iowa,2019,8th grade or less,1236,29.7
Iowa,2019,9th through 12th grade with no diploma,2802,25.0
Iowa,2019,"Associate degree (AA, AS)",4649,29.5
Iowa,2019,"Bachelor's degree (BA, AB, BS)",9161,30.6
Iowa,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1071,32.8
Iowa,2019,High school graduate or GED completed,9289,26.5
Iowa,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3092,32.1
Iowa,2019,"Some college credit, but not a degree",6263,27.6
Iowa,2019,Unknown or Not Stated,86,28.3
Iowa,2020,8th grade or less,1217,29.8
Iowa,2020,9th through 12th grade with no diploma,2829,25.0
Iowa,2020,"Associate degree (AA, AS)",4330,29.4
